DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_CMN_FILE_PROCESSING_ERROR,Error Occurred while Processing File in Inbound Service.,used in TSGT_CMN_OIC_LAUNCH_SERVICE_IB
TSGT_CMN_FILE_PROCESSING_SUCCESS,Inbound Process Triggered Successfully for File name : %1,used in TSGT_CMN_OIC_LAUNCH_SERVICE_IB
TSGT_CMN_OIC_INBOUND_INACTIVE,Integration is Inactive or not defined,used in TSGT_CMN_OIC_LAUNCH_SERVICE_IB
TSGT_GL_JOURNAL_IMPORT_FAILED,Error Occurred while Importing GL Journal Inbound Process,used in TSGT_CMN_OIC_LAUNCH_SERVICE_IB
TSGT_GL_EMAIL_BODY_HEADER,GL JOURNAL INBOUND IMPORT,used in TSGT_CMN_OIC_GL_CALLBACK_SERVICE_IB
TSGT_GL_SOURCE_FILE_VALIDATION_ERROR,Error Occurred while Validating Source File in Inbound Service.,used in TSGT_CMN_OIC_GL_VALTRANS_SERVICE_IB
TSGT_GL_VALIDATION_ERROR,Error Occurred while Validating Source File in Inbound Service.,used in TSGT_CMN_OIC_GL_VALTRANS_SERVICE_IB
TSGT_GL_TRANSFORMATION_ERROR,Error Occurred while Transforming and Preparing FBDI File in Inbound Service.,used in TSGT_CMN_OIC_GL_VALTRANS_SERVICE_IB
TSGT_GL_VALIDATION_TRANSFORMATION_ERROR,Error Occurred while Preparing FBDI File in Inbound Service,
TSGT_GL_FBDI_FILE_NOT_FOUND,GL FBDI File not found or Error Occurred while importing to Cloud,used in TSGT_CMN_OIC_ERPTRIGGER_SERVICE_IB
TSGT_AP_FBDI_FILE_NOT_FOUND,AP FBDI File not found or Error Occurred while importing to Cloud,used in TSGT_CMN_OIC_ERPTRIGGER_SERVICE_IB
TSGT_GL_FBDI_FILE_IMPORT_SUCCESS,GL FBDI File Imported to Cloud successfully,used in TSGT_CMN_OIC_ERPTRIGGER_SERVICE_IB
TSGT_AP_FBDI_FILE_IMPORT_SUCCESS,AP FBDI File Imported to Cloud successfully,used in TSGT_CMN_OIC_ERPTRIGGER_SERVICE_IB
TSGT_CMN_PAYLOAD_MISSING,Payload field value %1 missing,used in TSGT_VAL_TRANSFORM_IB
TSGT_USER_ERROR,User Error,
TSGT_NO_RECORDS_RETRIEVED,No Records Retrieved for the Integration: %1,used in TSGT_CMN_OIC_SFTP_DISPATCHER_SERVICE
TSGT_CMN_NO_INTEGRATION_FOUND,The Integration Identifier : %1 is either Inactive or not defined in Metadata,used in TSGT_CMN_OIC_LAUNCH_SERVICE_OB
TSGT_CMN_NO_DATA_FOUND,No Data Found,
TSGT_CMN_ORCHESTRATOR_GENERATE_FBDI_ERROR,Error Occurred while Preparing FBDI,TSGT_CMN_ORCHESTRATION_SERVICE_IB
TSGT_CMN_ORCHESTRATOR_SUCCESS,File is Imported to Cloud Successfully.,TSGT_CMN_ORCHESTRATION_SERVICE_IB
TSGT_CMN_TRIGGER_INFO_NOT_FOUND,Trigger information  not found for the trigger ID %1 in the DB,
TSGT_CMN_UCM_CONTENT_NOT_FOUND,UCM content not found,
TSGT_GL_MEDIATOR_NO_DIST_LIST_ERROR,Unable to fetch the Distribution List,
